"","Cutibacterium","Streptococcus","Rothia","Prevotella_7","Actinomyces","Pseudopropionibacterium","Corynebacterium_1","Pelomonas","Neisseria","Butyrivibrio_2","Fusobacterium","Atopobium","Stenotrophomonas","Johnsonella","Nesterenkonia","Peptostreptococcus","Gemella","Prevotella_6","Parvimonas","Acinetobacter","Prevotella","Selenomonas_3","Granulicatella","Veillonella","Moraxella","Microbacterium","Ralstonia","Cardiobacterium","Capnocytophaga","Staphylococcus","Pseudomonas","Oribacterium","Slackia","Solobacterium","Mycoplasma","Corynebacterium","Propionibacterium","Anaerococcus","Lautropia","Alcaligenes","Aliicoccus","Mogibacterium","Candidatus_Saccharimonas","Atopostipes","F0058","Tannerella","Haemophilus","Mesorhizobium","Dolosigranulum","Oceanobacillus","Prevotella_2","Porphyromonas","Stomatobaculum","Alcanivorax","Planococcus","Treponema_2","Micrococcus","Dialister","Alloprevotella","Variovorax","Lactobacillus","Actinobacillus","Catonella","Propioniciclava","Abiotrophia","Megasphaera","Lachnoanaerobaculum","Ruminococcaceae_UCG-014","Peptoniphilus","F0332","Aggregatibacter","Burkholderia-Caballeronia-Paraburkholderia","Aquipuribacter","Hymenobacter","Actinopolyspora","Finegoldia","Nocardioides","Bulleidia","Rubellimicrobium","Salinicoccus","Massilia","Bergeyella","Rikenellaceae_RC9_gut_group","Peptococcus","Amaricoccus","Paracoccus","Aphelidium","Leptotrichia"
"39-B3",0.0674471055740522,0.193534529051659,0.0299645580496187,0.354526903662335,0.041348942111481,0,0,0.00257759639136505,0,0,0.0314681559445817,0.00676619052733326,0,0,0,0.0165395768445924,0.00687359037697347,0.0329717538395446,0.0100955858661798,0,0.0340457523359467,0,0.00988078616689937,0.0585329180539147,0,0,0,0,0.000859198797121684,0,0,0.00461819353452905,0,0.00451079368488884,0.0144989797014284,0,0.0293201589517775,0,0,0,0,0.00343679518848674,0,0,0,0,0.00955858661797874,0.00171839759424337,0,0,0,0.00826978842229621,0,0,0,0.00161099774460316,0,0,0,0,0,0,0.00139619804532274,0,0,0.00590699173021158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40-B1",0.215483234714004,0,0,0,0,0,0.00542406311637081,0.309171597633136,0,0,0,0,0,0,0,0,0,0,0,0.0744575936883629,0,0,0,0,0,0.207100591715976,0.0212031558185404,0,0,0,0.0468441814595661,0,0,0,0,0,0,0,0,0,0,0,0,0.0571992110453649,0,0,0,0.0468441814595661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41-B2",0.0275675675675676,0.308108108108108,0.0324324324324324,0.0121621621621622,0.0867567567567568,0,0.0616216216216216,0,0.0467567567567568,0,0.0302702702702703,0,0,0,0,0,0.0543243243243243,0,0.012972972972973,0,0.0289189189189189,0.184864864864865,0.0197297297297297,0,0,0,0,0.0291891891891892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124324324324324,0,0,0,0.0227027027027027,0,0,0,0,0,0,0,0,0,0,0,0.00891891891891892,0,0,0,0,0,0.0154054054054054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42-B3",0.417099056603774,0.0936320754716981,0,0.0410377358490566,0.038561320754717,0.0507075471698113,0.150707547169811,0.00790094339622642,0,0.0613207547169811,0,0,0,0,0,0.00235849056603774,0.00825471698113208,0,0,0,0.0089622641509434,0.0767688679245283,0,0.00365566037735849,0,0,0,0,0,0,0,0.00188679245283019,0.0283018867924528,0,0,0,0,0,0,0,0,0,0.00707547169811321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017688679245283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44-B2",0.926006631927996,0.0475603979156798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236854571293226,0,0,0,0,0,0,0,0,0,0.00511605873993368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45-B3",0.33864830585251,0.376336292806668,0.0221054538865737,0,0,0,0.0880594310563508,0,0,0,0,0,0,0,0,0,0,0,0,0.00761007428882044,0,0,0,0,0,0.00887842000362385,0,0,0,0.0681282841094401,0.0237361840913209,0,0,0,0,0,0,0,0,0.00525457510418554,0,0,0,0,0,0,0,0,0.019206377967023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010690342453343,0,0,0,0,0,0,0,0.00724768979887661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46-B1",0.601236476043277,0.0989180834621329,0.0525502318392581,0,0.106646058732612,0,0,0,0.0386398763523957,0,0.0401854714064915,0,0,0,0,0,0.0618238021638331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49-B1",0.0183691756272401,0.387096774193548,0.122087813620072,0.0288978494623656,0.237903225806452,0,0,0,0.0228494623655914,0,0.017921146953405,0.0378584229390681,0,0,0,0,0.019489247311828,0,0,0,0.0100806451612903,0,0.0452508960573477,0,0,0,0,0,0,0,0,0,0,0.014336917562724,0,0,0,0,0,0,0,0.0116487455197133,0,0,0,0,0.00627240143369176,0,0,0,0,0,0.00828853046594982,0,0,0,0,0,0.00560035842293907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50-B2",0.457409782011357,0.121817182634182,0.0500091591866642,0.0316907858582158,0.152592049825975,0,0,0,0,0,0.00842645173108628,0.0157538010624657,0,0,0,0.00439640959882762,0.0254625389265433,0.00842645173108628,0,0,0.0326067045246382,0,0,0,0,0,0.00439640959882762,0,0,0.0058618794651035,0,0,0.0155706173291812,0.011357391463638,0,0,0,0,0,0,0,0.00164865359956036,0,0,0,0,0,0,0,0,0,0.011357391463638,0.00549551199853453,0.0058618794651035,0,0,0,0,0.0119069426634915,0,0,0,0,0,0,0,0.0100751053306466,0,0,0,0,0,0,0,0,0,0,0,0.00531232826525005,0,0,0,0,0,0,0,0,0
"52-B1",0.26614481409002,0.128941074146554,0.035442487497282,0.0219612959338987,0.433572515764297,0,0,0.0121765601217656,0.0247879973907371,0,0.0113068058273538,0,0,0,0,0.0145683844313981,0.015220700152207,0,0,0,0,0,0,0.00173950858882366,0,0,0,0,0.0091324200913242,0.0115242444009567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115242444009567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195694716242661,0,0,0
"53-B2",0.350843558282209,0.270322085889571,0.0517638036809816,0,0.0176380368098159,0,0.0040260736196319,0,0,0,0,0,0.145897239263804,0,0,0,0.0239647239263804,0,0,0.0373849693251534,0,0,0,0.0128450920245399,0,0.0138036809815951,0,0,0,0,0,0,0,0,0,0,0,0,0.00479294478527607,0,0,0,0,0,0,0,0.0128450920245399,0,0,0,0,0.00843558282208589,0,0.00287576687116564,0.0155291411042945,0,0,0,0,0,0,0.0126533742331288,0,0,0,0,0,0,0,0,0,0,0,0,0.0067101226993865,0,0,0,0,0.0053680981595092,0,0,0,0,0,0,0,0
"54-B3",0.931540342298289,0,0,0,0,0,0,0.00358598207008965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00537897310513447,0,0,0.00635696821515892,0,0,0,0,0,0,0,0,0,0.0241238793806031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277098614506927,0,0,0.0115729421352893,0,0,0.0112469437652812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162999185004075,0,0
