"","29-B1","30-B1","31-B2","32-B3","33-B1","34-B1","35-B2","36-B3","37-B1","38-B2","39-B3","40-B1","41-B2","42-B3","44-B2","45-B3","48-B3","49-B1","50-B2","52-B1","53-B2","54-B3"
"Tenericutes",0.0,0.0,0.0002113718030014796,0.0,0.0,0.0,0.0533869740132652,0.0008241475224065107,0.004222885982078484,0.005223568742164647,0.028694250403009134,0.0,0.0004075810067250866,0.0,0.0,0.0,0.0,0.0007154538021259198,0.0,0.0,0.0,0.0
"Spirochaetae",0.0,0.0,0.008666243923060663,0.0,0.0,0.0,0.0,0.0,0.004428880420228654,0.0003134141245298788,0.0037614185921547557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacteroidetes",0.0,0.022126404175649608,0.05960684844641725,0.0613015095879233,0.0018055973517905506,0.0050110242533573865,0.009459606393389148,0.025342536314000207,0.3629622000205994,0.09935227747597158,0.30854379365932294,0.0,0.049215406562054205,0.04004829945663111,0.0006033182503770739,0.0,0.02262766282743859,0.047424366312346686,0.07111156982144701,0.02741395065488882,0.01077893024201749,0.0011054165410511506
"Proteobacteria",0.026838160826412803,0.006694655622376035,0.06859015007398013,0.02345981232150143,0.15969505466947537,0.06774904790539187,0.18712623681635315,0.07860306994952096,0.051292615099392314,0.01744671959882992,0.03288554540569586,0.5151331719128329,0.10974118606072956,0.026765948883075066,0.009753645047762695,0.05255164034021871,0.09958210172255631,0.02667620605069501,0.0315822066260708,0.05025890953396284,0.297335773845841,0.07044518138880515
"Deinococcus-Thermus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008044243338360985,0.0,0.0,0.0,0.0,0.0006091989034419738,0.0,0.0
"Cyanobacteria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001006238679814852,0.0,0.0,0.0,0.0,0.0016513572092063165,0.0,0.0007118161480577588,0.00321575721033062
"Saccharibacteria",0.0,0.014297061159650517,0.027795392094694567,0.028559771521827825,0.0,0.0007015433954700341,0.007502446449929325,0.015452766045122078,0.002471933257802039,0.010865022983702465,0.02385814078452445,0.0,0.04126757693091502,0.013986717649426444,0.0,0.0,0.031291407603710124,0.003883892068683565,0.007431107441428424,0.0014214641080312722,0.0017286963595688429,0.0
"Fusobacteria",0.0,0.001475093611709974,0.040160642570281124,0.0,0.0,0.0,0.0344677612264869,0.043370763366642626,0.020393449376866823,0.018700376096949436,0.015368081676518002,0.0,0.05675565518646831,0.0,0.00010055304172951231,0.0,0.10926511059015391,0.020339329517579722,0.01362369697595211,0.014925373134328358,0.006101281269066504,0.0
"Actinobacteria",0.6323678347174397,0.26268013162373766,0.5411118156837877,0.584047327621379,0.8062995285384692,0.9185207456404089,0.411003588126563,0.36406716802307615,0.19775466062416314,0.22858336815712496,0.1401397098334229,0.40617433414043586,0.24831872834725902,0.7002414972831555,0.8866767219708396,0.4251721344673957,0.3374783406380593,0.35241210139002455,0.560532562699969,0.659051680373642,0.3075045759609518,0.9065420560747663
"Firmicutes",0.34079400445614744,0.6927266538068763,0.253857535404777,0.3026315789473684,0.03219981944026482,0.008017638805371818,0.2970533869740133,0.47233954877923146,0.35647337521886907,0.6195152528207272,0.44674905964535194,0.07869249394673124,0.4942938659058488,0.21795129804789695,0.102061337355455,0.5222762251923856,0.39975537661808175,0.5485486508585445,0.3140674992259263,0.24631942329170475,0.37583892617449666,0.018691588785046728
