"","Mycoplasmatales","Spirochaetales","Cytophagales","Bacteroidales","Sphingobacteriales","Flavobacteriales","Bdellovibrionales","Order II","Xanthomonadales","Oceanospirillales","Enterobacteriales","Pasteurellales","Pseudomonadales","Cardiobacteriales","Neisseriales","Burkholderiales","Caulobacterales","Rhodobacterales","Rhizobiales","Deinococcales","SubsectionII","uncultured bacterium","Camelina sativa","uncultured bacterium","Unknown Order","Coriobacteriales","Thermoanaerobacterales","Clostridiales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Propionibacteriales","Actinomycetales","Actinopolysporales","Pseudonocardiales","Corynebacteriales","Micrococcales","Kineosporiales","Acidimicrobiales","Frankiales","Lactobacillales"
"29-B1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008005674908796109,0.0,0.0,0.018240778273206325,0.0,0.00040535062829347385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026753141467369273,0.0,0.19629104175111473,0.05755978921767329,0.00040535062829347385,0.0,0.0,0.37849614916903124,0.0,0.0,0.0,0.31384272395622215
"30-B1",0.0,0.0,0.0,0.022780648191639268,0.0,0.00011742602160638798,0.0,0.0,0.0,0.00011742602160638798,0.0,0.0,0.004109910756223579,0.0,0.0,0.0027007984969469236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032879286049788633,0.011507750117426021,0.0010568341944574918,0.0024659464537341476,0.22228745890089244,0.02266322217003288,0.012094880225457962,0.10133865664631282,0.0015265382808830436,0.1533583842179427,0.0975810239549084,0.0,0.0,0.017613903240958198,0.0022310944105213715,0.0,0.0,0.0,0.3211601690934711
"31-B2",0.00021190930281839374,0.008688281415554142,0.0,0.05710955710955711,0.0,0.0026488662852299214,0.0,0.0,0.0,0.0,0.0,0.00709896164441619,0.004979868616232253,0.03750794659885569,0.003072684890866709,0.013244331426149608,0.0010595465140919686,0.00021190930281839374,0.0,0.0,0.0,0.0,0.0,0.024793388429752067,0.003072684890866709,0.0,0.0,0.16507734689552872,0.06961220597584233,0.0,0.002860775588048315,0.040262767535494806,0.3213604577240941,0.09620682347955076,0.0,0.0,0.1215299851663488,0.003072684890866709,0.0,0.0,0.0,0.016317016317016316
"32-B3",0.0,0.0,0.0,0.058426966292134834,0.0021450459652706845,0.0008171603677221655,0.0,0.0,0.0,0.0,0.0,0.003166496424923391,0.003575076608784474,0.0,0.0,0.015934627170582225,0.0008171603677221655,0.0,0.0,0.0,0.0,0.0,0.0,0.024821246169560777,0.0037793667007150152,0.012053115423901941,0.0,0.15822267620020428,0.02553626149131767,0.02819203268641471,0.005413687436159346,0.0,0.42410623084780386,0.09305413687436159,0.0,0.0,0.0,0.054647599591419814,0.0,0.0,0.0,0.08529111338100102
"33-B1",0.0,0.0,0.0,0.0,0.0006024701275228437,0.0012049402550456873,0.0,0.0,0.0,0.0,0.0,0.0,0.15282658901496135,0.0,0.0,0.007028818154433176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02701074405060749,0.0,0.0,0.003514409077216588,0.0,0.7668440606486595,0.0,0.0,0.0,0.03474244402048399,0.0042172908926599055,0.0,0.0,0.0009037051912842655,0.0011045285671252133
"34-B1",0.0,0.0,0.0,0.005021592849251783,0.0,0.0,0.0,0.0,0.0,0.00010043185698503566,0.0,0.007934116701817817,0.01315657326503967,0.0,0.0,0.04509390378628101,0.0,0.0009038867128653209,0.0007030229988952496,0.0,0.0,0.0,0.0,0.0007030229988952496,0.0,0.0,0.0,0.0021090689966857487,0.0,0.00010043185698503566,0.0,0.0,0.867731244350708,0.008034548558802852,0.0027116601385959627,0.0,0.02470623681831877,0.016772120116500953,0.0,0.0,0.0,0.004218137993371497
"35-B2",0.05565000566700669,0.0,0.0,0.00929389096679134,0.0,0.0,0.0,0.0,0.0,0.0015867618723790094,0.00011334013374135781,0.04635611470021535,0.03581548226226907,0.0,0.05247648192224867,0.016887679927462314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007820469228153689,0.0,0.0,0.0,0.1566360648305565,0.00464694548339567,0.0,0.05939023008047149,0.035928822396010425,0.23982772299671315,0.08511844043975972,0.0,0.0,0.014734217386376517,0.08874532471948317,0.0,0.0,0.0,0.08897200498696589
"36-B3",0.0008417508417508417,0.0,0.0,0.025673400673400674,0.0,0.00021043771043771043,0.0,0.0,0.0,0.0,0.0,0.02356902356902357,0.003472222222222222,0.0,0.029671717171717172,0.006839225589225589,0.0,0.00010521885521885521,0.0,0.0,0.0,0.0,0.0,0.013468013468013467,0.0023148148148148147,0.00021043771043771043,0.0,0.12089646464646464,0.021464646464646464,0.0017887205387205388,0.06502525252525253,0.04429713804713805,0.11668771043771044,0.15688131313131312,0.0,0.0006313131313131314,0.008417508417508417,0.08712121212121213,0.0,0.0,0.001893939393939394,0.26851851851851855
"37-B1",0.004233787691036762,0.004440313919867823,0.0,0.36327963651383727,0.0,0.0,0.0,0.0006195786864931846,0.0005163155720776538,0.0,0.0,0.01332094175960347,0.004956629491945477,0.0,0.0020652622883106154,0.02798430400660884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024783147459727386,0.0,0.008880627839735646,0.0,0.052664188351920695,0.08168112350268485,0.005472945064023131,0.03376703841387856,0.020446096654275093,0.02674514663362247,0.14074762494836845,0.0,0.0,0.0,0.01724494010739364,0.0,0.0,0.004646840148698885,0.18380834365964477
"38-B2",0.005243288590604027,0.0003145973154362416,0.0,0.09815436241610738,0.0,0.0012583892617449664,0.0,0.0,0.0,0.0,0.0,0.006816275167785235,0.0,0.003460570469798658,0.003355704697986577,0.0005243288590604027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007235738255033557,0.0036703020134228187,0.003984899328859061,0.0,0.18781459731543623,0.06396812080536912,0.015205536912751678,0.06889681208053691,0.018770973154362415,0.007864932885906041,0.15478187919463088,0.0008389261744966443,0.0,0.0008389261744966443,0.06113674496644295,0.0,0.0,0.0,0.28586409395973156
