"","Mycoplasmatales","Spirochaetales","Cytophagales","Bacteroidales","Sphingobacteriales","Flavobacteriales","Bdellovibrionales","Order II","Xanthomonadales","Oceanospirillales","Enterobacteriales","Pasteurellales","Pseudomonadales","Cardiobacteriales","Neisseriales","Burkholderiales","Caulobacterales","Rhodobacterales","Rhizobiales","Deinococcales","SubsectionII","uncultured bacterium","Camelina sativa","uncultured bacterium","Unknown Order","Coriobacteriales","Thermoanaerobacterales","Clostridiales","Selenomonadales","Erysipelotrichales","Bacillales","Fusobacteriales","Propionibacteriales","Actinomycetales","Actinopolysporales","Pseudonocardiales","Corynebacteriales","Micrococcales","Kineosporiales","Acidimicrobiales","Frankiales","Lactobacillales"
"39-B3",0.028718941594062602,0.003764655265139292,0.0,0.3075185543723782,0.0,0.0012907389480477573,0.0,0.0,0.0,0.0,0.0,0.023125739485855654,0.0013983005270517372,0.0,0.0010756157900397977,0.005593202108206949,0.0,0.0,0.0008604926320318382,0.0,0.0,0.0,0.0,0.017532537377648705,0.006346133161234807,0.0011831773690437776,0.0,0.08357534688609229,0.13057975691083146,0.006776379477250726,0.017532537377648705,0.015381305797569108,0.054426158976013765,0.0601269226632247,0.0,0.0,0.0010756157900397977,0.02344842422286759,0.0,0.0,0.0,0.20866946326772076
"40-B1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14266962843295639,0.0,0.0,0.316437802907916,0.005149434571890145,0.0,0.05068659127625202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006462035541195477,0.0,0.0,0.0,0.0,0.10521001615508885,0.0023222940226171242,0.0,0.0,0.015246365105008078,0.2734248788368336,0.0,0.01029886914378029,0.0,0.07209208400646204
"41-B2",0.000419771224682548,0.0,0.0,0.04722426277678665,0.0,0.000944485255535733,0.0,0.0,0.0,0.0,0.0,0.04439080701017945,0.003253226991289747,0.0238220170007346,0.024346731031587784,0.002518627348095288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002623570154265925,0.03987826634484206,0.0,0.0,0.05488508762724315,0.040402980375695244,0.000314828418511911,0.09738692412635114,0.05845314303704481,0.01689579179347256,0.14912372756847517,0.0,0.0,0.061811312834505194,0.027914786441389443,0.0,0.0,0.0,0.30338965263931156
"42-B3",0.0,0.0,0.0,0.04011692369720794,0.0,0.0,0.0006047777441790142,0.0,0.0,0.0,0.0003023888720895071,0.00010079629069650237,0.012700332627759298,0.0,0.0,0.012297147464973289,0.0,0.0,0.00010079629069650237,0.0,0.0010079629069650238,0.0,0.0,0.0007055740348755166,0.013305110371938312,0.007458925511541176,0.0,0.024493498639250075,0.020663239592782986,0.0007055740348755166,0.02086483217417599,0.0,0.3745590162282028,0.08043543997580889,0.0,0.0,0.23273863521822397,0.006249370023183147,0.0,0.0,0.0,0.15058965830057455
"44-B2",0.0,0.0,0.0,0.0006041687644748766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005034739703957305,0.005940992850669621,0.0,0.0,0.0002013895881582922,0.0,0.003020843822374383,0.0001006947940791461,0.0008055583526331688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002013895881582922,0.0015104219111871915,0.0,0.012486154465814117,0.0001006947940791461,0.8564092236431377,0.0033229282046118216,0.0,0.0,0.007149330379619374,0.020239653609908367,0.0,0.0,0.0,0.0855905749672742
"45-B3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000609508329947176,0.004469727752945957,0.0,0.02265339292970337,0.0,0.0,0.021840715156440472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381552214546932,0.001726940268183665,0.0,0.10442909386428281,0.0,0.21068671271840717,0.003352295814709468,0.0,0.0,0.14861844778545308,0.06369362047947989,0.00010158472165786265,0.0,0.0,0.4040024380333198
"48-B3",0.0,0.0,0.004542169918447404,0.017033137194177764,0.0,0.0013420047486321874,0.0,0.0,0.0,0.0,0.0,0.01775575513574894,0.006193868070610096,0.0,0.021885000516155672,0.04232476514916899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015587901311035409,0.01610405698358625,0.0,0.0,0.06142252503355012,0.019613915556931972,0.0,0.11737379993806132,0.11066377619490038,0.161969650046454,0.0621451429751213,0.0,0.0,0.10137297408898524,0.016310519252606587,0.0,0.0,0.0,0.20635903788582635
"49-B1",0.00072038695070495,0.0,0.0,0.04651641453123392,0.00041164968611711434,0.00072038695070495,0.0,0.0,0.0,0.0,0.0,0.01101162910363281,0.0,0.0,0.009056293094576515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003704847175054029,0.00020582484305855717,0.0057630956056396,0.0,0.0509416486569929,0.03128537614490069,0.016465987444684572,0.06565812493567974,0.020479571884326437,0.008850468251517958,0.2599567767829577,0.0,0.0,0.0005145621076463929,0.0797571266851909,0.0,0.0,0.0,0.38797982916538026
"50-B2",0.0,0.0,0.0,0.07007751937984497,0.00041343669250645994,0.00010335917312661498,0.0,0.00062015503875969,0.0,0.006925064599483204,0.0,0.002377260981912145,0.0019638242894056846,0.0,0.0013436692506459949,0.013540051679586563,0.0,0.004134366925064599,0.0,0.0,0.0,0.0,0.0016537467700258397,0.0074418604651162795,0.0,0.00516795865633075,0.0,0.053953488372093024,0.037416020671834624,0.017364341085271316,0.04806201550387597,0.013643410852713178,0.2550904392764858,0.21984496124031008,0.0,0.0,0.00010335917312661498,0.08072351421188631,0.00041343669250645994,0.0,0.0,0.15762273901808785
"52-B1",0.0,0.0,0.0,0.027740676050549678,0.0,0.0,0.0,0.0,0.0007192027124216583,0.0007192027124216583,0.0,0.005034418986951608,0.001746635158738313,0.0,0.011712729888009863,0.018904757012226447,0.0,0.0004109729785266619,0.0,0.0006164594677899928,0.0,0.0,0.0,0.0014384054248433166,0.0,0.0,0.0,0.044385081680879485,0.0049316757423199424,0.005856364944004932,0.05650878454741601,0.015103256960854823,0.12729888009863352,0.5038528716736874,0.0,0.0,0.002671324360423302,0.03308332477139628,0.0,0.0,0.0,0.13726497482790506
"53-B2",0.0,0.0,0.0,0.010813016423543813,0.0,0.0,0.0,0.0,0.16086912169743955,0.003774354789350199,0.0,0.04417015199428746,0.060593695807405895,0.0,0.0025502397225339183,0.020911965724778128,0.0,0.0019381821891257779,0.0013261246557176374,0.0,0.0,0.0007140671223094971,0.0,0.0017341630113230644,0.0,0.0,0.0,0.007548709578700398,0.019177802713455063,0.0,0.08874834234418036,0.006120575334081404,0.1951443435682954,0.025094358869733754,0.010404978067938386,0.00020401917780271344,0.008058757523207182,0.06946853004182393,0.0,0.0,0.0,0.2606344996429664
"54-B3",0.0,0.0,0.0,0.00010096930533117933,0.0,0.0010096930533117932,0.0,0.0,0.0005048465266558966,0.005250403877221325,0.0,0.0020193861066235864,0.0018174474959612278,0.0,0.00020193861066235866,0.05795638126009693,0.0,0.0022213247172859453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010096930533117932,0.00030290791599353796,0.0,0.01029886914378029,0.0,0.8869143780290791,0.00030290791599353796,0.0,0.0,0.0044426494345718905,0.019083198707592893,0.0,0.0,0.0,0.006563004846526656
